TIME,PROCESSOR_COUNT,FORK_JOIN,FORK_NODES,INTREE_BALANCED,INTREE_UNBALANCED,INDEPENDENT_NODES,JOIN_NODES,OUTTREE_BALANCED,PIPELINE_NODES,RANDOM_NODES,SERIES_PARALLEL,STENCIL
2021-08-14T15:32:58.331Z,2,876.232,5723.746,457.926,333.672,6173.915,4221.304,558.644,242.347,864.691,257.397,240.345
2021-08-14T15:57:12.206Z,2,874.891,6503.75,474.491,336.372,-1,4207.145,555.178,236.922,324.454,240.342,234.154
2021-08-14T16:08:02.631Z,2,876.945,5900.645,477.479,345.367,6362.386,4258.658,575.454,260.736,967.888,250.635,255.703
2021-08-15T14:36:57.851Z,2,767.886,5049.422,421.561,306.237,-1,2387.662,517.55,259.493,-1,268.448,251.048
2021-08-15T14:56:21.093Z,2,729.805,4788.678,405.4,310.61,7609.532,2179.567,512.142,250.202,907.983,252.787,251.956
2021-08-16T03:38:14.607Z,2,837.356,6442.6,537.701,357.953,7985.476,3341.49,514.023,265.849,985.101,265.086,268.18
2021-08-16T03:45:53.444Z,2,753.445,4845.594,419.833,310.815,7847.45,2559.531,520.093,259.418,1066.448,258.255,257.519
2021-08-16T04:05:35.505Z,2,715.078,3776.242,393.692,317.459,7837.253,1858.115,472.271,266.043,842.014,299.548,269.595
2021-08-16T04:14:03.321Z,2,802.89,4862.074,402.785,307.208,7820.973,2196.153,515.67,262.25,936.877,265.096,256.206
2021-08-16T04:40:09.355Z,2,752.751,4974.03,389.07,319.017,7887.992,2288.807,535.581,259.004,939.075,263.183,260.355
2021-08-16T06:59:19.286Z,2,748.508,3045.202,406.065,336.225,7745.26,2149.253,389.202,254.42,819.186,256.524,252.23
2021-08-16T07:07:02.126Z,2,676.38,2020.961,369.717,305.655,7572.279,1482.54,387.355,253.067,802.968,257.551,252.113
2021-08-16T08:55:55.631Z,2,686.37,2024.466,362.86,305.504,7648.988,1588.951,385.791,253.857,793.395,261.657,256.862
2021-08-16T09:08:57.538Z,2,677.112,2008.361,369.576,305.394,7631.465,1492.779,384.428,253.742,824.605,265.688,257.667
2021-08-16T12:57:58.090Z,2,769.479,2635.583,414.559,336.905,7974.62,2440.9,459.869,260.831,914.799,261.161,255.941
2021-08-16T13:57:44.464Z,2,826.766,2499.625,372.943,329.421,8581.551,1820.147,461.522,270.047,861.329,271.151,261.132
2021-08-18T05:59:25.221Z,2,610.005,2039.809,334.958,300.312,7626.173,1127.493,408.495,267.189,758.017,272.19,269.019
2021-08-18T06:16:57.250Z,2,575.459,2019.971,333.492,297.997,7740.463,990.052,383.869,254.027,691.518,255.285,254.95
2021-08-18T06:25:34.553Z,2,593.794,2066.33,350.115,307.743,7675.33,1120.355,379.201,254.355,778.008,257.848,255.568
2021-08-18T12:19:46.791Z,2,593.401,1944.448,367.112,322.886,7608.506,1123.723,412.478,278.186,801.353,284.135,288.09
2021-08-18T12:31:48.343Z,2,609.297,2143.779,395.107,331.812,7919.2,1234.766,405.864,292.564,772.41,284.005,294.269
2021-08-18T12:45:07.465Z,2,629.216,2128.418,371.304,333.706,7851.161,1149.689,428.919,297.236,724.771,284.09,287.338
2021-08-18T12:49:08.651Z,2,601.448,2114.582,368.734,319.965,7853.61,1109.745,418.151,289.59,784.589,292.095,291.924
2021-08-18T12:52:20.160Z,2,622.333,2107.521,372.406,319.973,7750.189,1140.554,422.876,287.243,722.094,277.286,276.441
2021-08-18T12:54:52.670Z,2,604.155,2112.597,379.839,324.992,7780.255,1214.184,428.837,289.449,707.987,291.939,288.952
2021-08-18T12:56:27.842Z,2,634.755,2212.813,397.13,333.398,8205.203,1249.437,446.384,296.819,768.764,308.367,310.143
2021-08-18T14:05:02.234Z,2,576.755,2339.018,359.846,323.497,7659.548,1040.676,432.204,279.209,794.984,297.436,299.924
2021-08-18T14:13:42.463Z,2,605.827,2064.316,367.093,316.303,7605.287,1109.418,409.822,284.95,698.27,278.382,277.146
2021-08-20T16:30:24.002Z,2,305.304,312.008,304.755,299.922,7812.878,308.932,316.003,307.415,731.443,299.958,310.285
2021-08-20T16:34:21.091Z,2,300.668,297.056,305.091,296.922,7704.487,296.815,305.164,305.857,308.252,302.586,306.886,
2021-08-20T16:41:11.731Z,2,307.317,310,306.155,310.917,7554.372,305.331,295.819,302.407,301.274,306.628,310.257,
2021-08-20T17:12:41.383Z,2,548.196,1715.151,363.399,339.44,7590.515,1265.339,412.393,306.066,339.146,310.825,311.934,
2021-08-21T14:34:34.851Z,2,600.748,1797.894,394.376,348.987,1612.777,1055.618,446.056,323.654,421.146,318.368,324.891,
2021-08-21T14:36:05.643Z,2,604.683,1813.462,396.526,349.325,1405.356,1111.38,499.09,323.474,419.257,337.522,333.826,
2021-08-21T14:57:11.016Z,2,566.362,1670.068,379.99,347.19,4422.49,1159.708,421.642,316.9,343.396,307.8,306.098,
2021-08-21T15:38:18.559Z,2,628.92,2230.132,391.518,348.251,4339.814,1413.397,431.355,307.146,329.549,299.366,313.104,
2021-08-21T15:42:10.992Z,2,1036.431,7363.258,496.448,408.224,-1,3612.454,676.233,319.404,400.313,311.823,321.814,
2021-08-21T16:09:22.992Z,2,714.574,2695.983,441.178,394.539,4615.342,1163.356,426.136,296.618,331.928,303.983,296.704,
2021-08-21T16:10:34.551Z,2,571.114,1682.515,370.426,342.981,4212.196,1250.41,424.192,296.346,336.547,306.911,297.512,
